"","year","US_State","department_name","total_crime_count","total_crime_per_100k","crime_type","counts","counts_per_100k"
"178",2004,"Texas","Fort Worth, Texas",3784,636.019833599462,"homicide",52,8.74023027145138
"179",2004,"Texas","Houston",23427,1146.44575878198,"homicide",272,13.310848439352
"180",2004,"Texas","San Antonio",7846,635.237805312486,"homicide",94,7.61054724692502
"181",2005,"Texas","Arlington, Texas",2369,648.366084624227,"homicide",24,6.56850402320871
"182",2005,"Texas","Austin, Texas",3393,489.596966316941,"homicide",26,3.75170089131755
"183",2005,"Texas","El Paso, Texas",2621,435.498530337848,"homicide",14,2.32620351954592
"184",2005,"Texas","Fort Worth, Texas",3920,639.20581938196,"homicide",60,9.78376254156061
"185",2005,"Texas","Houston",23987,1172.53872941324,"homicide",334,16.3266742662284
"186",2005,"Texas","San Antonio",8007,637.20372056305,"homicide",86,6.84395153845664
"187",2006,"Texas","Arlington, Texas",2728,731.198704856253,"homicide",14,3.75248602198957
"188",2006,"Texas","Austin, Texas",3658,515.346999843621,"homicide",20,2.81764352019476
"189",2006,"Texas","El Paso, Texas",2422,393.467337499777,"homicide",13,2.11192212530846
"190",2006,"Texas","Fort Worth, Texas",4219,657.419065308717,"homicide",50,7.79117166756005
"191",2006,"Texas","Houston",24250,1169.39098599672,"homicide",377,18.1798103802377
"192",2006,"Texas","San Antonio",7977,617.359432125289,"homicide",119,9.20969943875008
"193",2007,"Texas","Arlington, Texas",2588,695.562429953262,"homicide",13,3.49393801753957
"194",2007,"Texas","Austin, Texas",3871,540.026254957681,"homicide",30,4.18516859951703
"195",2007,"Texas","El Paso, Texas",2574,417.837471937198,"homicide",17,2.75961034301957
"196",2007,"Texas","Fort Worth, Texas",4477,667.518521887063,"homicide",58,8.64777178232067
"197",2007,"Texas","Houston",24564,1132.2194894411,"homicide",351,16.1785149321701
"198",2007,"Texas","San Antonio",7327,556.390018240055,"homicide",122,9.26430766006369
"199",2008,"Texas","Arlington, Texas",2262,601.858257325003,"homicide",23,6.11969050330463
"200",2008,"Texas","Austin, Texas",3935,522.205338836285,"homicide",23,3.05228025241031
"201",2008,"Texas","El Paso, Texas",2825,461.319389784674,"homicide",17,2.77608128365999
"202",2008,"Texas","Fort Worth, Texas",4627,659.732371372149,"homicide",49,6.98657579365362
"203",2008,"Texas","Houston",24779,1106.75132152245,"homicide",294,13.1314778048993
"204",2008,"Texas","San Antonio",9699,717.783020683163,"homicide",116,8.58468196713547
"205",2009,"Texas","Arlington, Texas",2330,614.607073520723,"homicide",12,3.16535831856166
"206",2009,"Texas","Austin, Texas",4024,523.29739781786,"homicide",22,2.86096986878552
"207",2009,"Texas","El Paso, Texas",2830,457.327912193041,"homicide",12,1.93919962767367
"208",2009,"Texas","Fort Worth, Texas",4245,586.766852441614,"homicide",44,6.08191790516631
"209",2009,"Texas","Houston",25593,1125.57509089526,"homicide",287,12.6222033793201
"210",2009,"Texas","San Antonio",7844,570.914511301837,"homicide",99,7.20557580556882
"211",2010,"Texas","Arlington, Texas",1925,526.765142103449,"homicide",16,4.37830767462606
"212",2010,"Texas","Austin, Texas",3790,479.510115259555,"homicide",38,4.80775313452852
"213",2010,"Texas","El Paso, Texas",2861,440.749875601005,"homicide",5,0.770272414542127
"214",2010,"Texas","Fort Worth, Texas",4301,580.270532078801,"homicide",63,8.49966136269809
"215",2010,"Texas","Houston",22491,1071.28006321653,"homicide",269,12.8128734607285
"216",2010,"Texas","San Antonio",8434,635.374078937357,"homicide",79,5.95145271947489
"217",2011,"Texas","Arlington, Texas",1874,502.240517999185,"homicide",22,5.89609999785596
"218",2011,"Texas","Austin, Texas",3470,429.975886654887,"homicide",27,3.34563370019653
"219",2011,"Texas","El Paso, Texas",2858,431.213977488759,"homicide",16,2.41407405172154
"220",2011,"Texas","Fort Worth, Texas",4579,605.045170275488,"homicide",51,6.73887392095433
"221",2011,"Texas","Houston",20892,974.609400511656,"homicide",198,9.23667725930059
"222",2011,"Texas","San Antonio",7038,519.27967836829,"homicide",89,6.56662281539895
"223",2012,"Texas","Arlington, Texas",1909,503.302179042698,"homicide",17,4.48199949907064
"224",2012,"Texas","Austin, Texas",3405,408.812091713181,"homicide",31,3.72193093777052
"225",2012,"Texas","El Paso, Texas",2859,423.219487932545,"homicide",23,3.40470382037375
"226",2012,"Texas","Fort Worth, Texas",4526,587.715117887134,"homicide",46,5.97324247079279
"227",2012,"Texas","Houston",21610,992.525971708647,"homicide",217,9.96659582881889
"228",2012,"Texas","San Antonio",6943,503.071103082841,"homicide",89,6.44870058683175
"229",2013,"Texas","Arlington, Texas",1837,484.997293836548,"homicide",18,4.7522870381371
"230",2013,"Texas","Austin, Texas",3123,363.486114667474,"homicide",26,3.0261412044042
"231",2013,"Texas","El Paso, Texas",2522,371.046049727821,"homicide",10,1.4712373105782
"232",2013,"Texas","Fort Worth, Texas",4440,562.712680679564,"homicide",49,6.21011742191411
"233",2013,"Texas","Houston",20993,962.714034539023,"homicide",214,9.81378570911022
"234",2013,"Texas","San Antonio",8828,630.69531515119,"homicide",72,5.14386754541071
"235",2014,"Texas","Arlington, Texas",1854,484.103442513369,"homicide",13,3.3944685828877
"236",2014,"Texas","Austin, Texas",3581,396.161624207345,"homicide",32,3.54012062961045
"237",2014,"Texas","El Paso, Texas",2671,392.636485646204,"homicide",21,3.0869959560353
"238",2014,"Texas","Fort Worth, Texas",4492,558.076895840141,"homicide",53,6.58461163836319
"239",2014,"Texas","Houston",22008,991.38127141675,"homicide",242,10.9012299019835
"240",2014,"Texas","San Antonio",7704,539.320179353362,"homicide",103,7.21053718502028
"241",1975,"NewYork","Buffalo, N.Y.",3350,793.320008714679,"homicide",63,14.919152402694
"242",1975,"NewYork","Nassau County, N.Y.",993,90.2377806413153,"homicide",18,1.63573016268245
"243",1975,"NewYork","New York City",132182,1780.82712226841,"homicide",1645,22.1623263086618
"244",1975,"NewYork","Suffolk County, N.Y.",1285.33333333333,105.554186855,"homicide",17,1.42344857792012
"245",1976,"NewYork","Buffalo, N.Y.",3091,727.121319404095,"homicide",54,12.7028635547787
"246",1976,"NewYork","Nassau County, N.Y.",887,84.2280786217362,"homicide",20,1.89916749992641
"247",1976,"NewYork","New York City",134153,1781.46371027767,"homicide",1622,21.5390944523818
"248",1976,"NewYork","Suffolk County, N.Y.",1810,153.755716994339,"homicide",34,2.88822893801521
"249",1977,"NewYork","Buffalo, N.Y.",3945,949.796798859762,"homicide",45,10.8341840174117
"250",1977,"NewYork","Nassau County, N.Y.",1058,101.249251157476,"homicide",19,1.8182757769301
"251",1977,"NewYork","New York City",121916,1629.54165097821,"homicide",1557,20.811020297361
"252",1977,"NewYork","Suffolk County, N.Y.",2042,178.984329667748,"homicide",30,2.62954451029993
"253",1978,"NewYork","Buffalo, N.Y.",3181,812.111464277052,"homicide",44,11.2332299365578
"254",1978,"NewYork","Nassau County, N.Y.",1005,91.3527570807477,"homicide",13,1.18167745477584
"255",1978,"NewYork","New York City",122685,1693.86899089672,"homicide",1503,20.7513966117926
"256",1978,"NewYork","Suffolk County, N.Y.",2523,218.061319914884,"homicide",21,1.81501693151509
"257",1979,"NewYork","Buffalo, N.Y.",3857,1004.64946667882,"homicide",52,13.5446648346639
"258",1979,"NewYork","Nassau County, N.Y.",1257,113.681788665826,"homicide",20,1.80877945371243
"259",1979,"NewYork","New York City",132383,1862.07876310585,"homicide",1733,24.376109443527
"260",1979,"NewYork","Suffolk County, N.Y.",3023,259.295570360192,"homicide",26,2.23013060845683
"261",1980,"NewYork","Buffalo, N.Y.",3833,1072.51583730665,"homicide",61,17.0684753654333
"262",1980,"NewYork","Nassau County, N.Y.",1462,139.355153567092,"homicide",20,1.90636324989181
"263",1980,"NewYork","New York City",149549,2125.68020800108,"homicide",1812,25.755655583775
"264",1980,"NewYork","Suffolk County, N.Y.",2967,256.014882860464,"homicide",43,3.71036062116614
"265",1981,"NewYork","Buffalo, N.Y.",4009.2,1116.24954408395,"homicide",30,8.35266046156801
"266",1981,"NewYork","Nassau County, N.Y.",1708,161.995695922318,"homicide",27,2.56082189104367
"267",1981,"NewYork","New York City",156946,2219.75215365291,"homicide",1826,25.8258728006462
"268",1981,"NewYork","Suffolk County, N.Y.",NA,NA,"homicide",NA,NA
"269",1982,"NewYork","Buffalo, N.Y.",3557,986.704318807855,"homicide",42,11.6507116643042
"270",1982,"NewYork","Nassau County, N.Y.",1685,159.225587221131,"homicide",20,1.88991794921224
"271",1982,"NewYork","New York City",143943,2028.34923235331,"homicide",1668,23.5043490796032
"272",1982,"NewYork","Suffolk County, N.Y.",3121.5,267.023096663816,"homicide",40,3.46449957228401
"273",1983,"NewYork","Buffalo, N.Y.",3297,914.167516969079,"homicide",43,11.9227186016592
"274",1983,"NewYork","Nassau County, N.Y.",1628.72727272727,153.838412651363,"homicide",33,3.19423361834713
"275",1983,"NewYork","New York City",132653,1868.33553448751,"homicide",1622,22.8448677145541
"276",1983,"NewYork","Suffolk County, N.Y.",2464.36363636364,210.714196600823,"homicide",28,2.42521873024408
"277",1984,"NewYork","Buffalo, N.Y.",3316,942.005312273625,"homicide",35,9.94275812110279
"278",1984,"NewYork","Nassau County, N.Y.",1923,181.809586839368,"homicide",34,3.21452207620308
"279",1984,"NewYork","New York City",132292,1845.81786745333,"homicide",1450,20.2312755707627
"280",1984,"NewYork","Suffolk County, N.Y.",2475,210.532941812948,"homicide",37,3.18989305777194
"281",1985,"NewYork","Buffalo, N.Y.",3411,1003.55997528612,"homicide",31,9.1205978404778
"282",1985,"NewYork","Nassau County, N.Y.",1771,165.928529869478,"homicide",18,1.6864559783459
"283",1985,"NewYork","New York City",135152,1881.29594943419,"homicide",1384,19.2650763142011
"284",1985,"NewYork","Suffolk County, N.Y.",2869.09090909091,240.292370945637,"homicide",34,2.92370945637277
"285",1986,"NewYork","Buffalo, N.Y.",3755,1105.43591857162,"homicide",35,10.3036636884172
"286",1986,"NewYork","Nassau County, N.Y.",1978,185.933361032203,"homicide",19,1.7860130736157
"287",1986,"NewYork","New York City",143251,1995.24793063243,"homicide",1582,22.0346261196118
"288",1986,"NewYork","Suffolk County, N.Y.",2830.90909090909,237.69477289043,"homicide",32,2.74791644960035
"289",1987,"NewYork","Buffalo, N.Y.",3555,1091.20376196717,"homicide",35,10.7432156593111
"290",1987,"NewYork","Nassau County, N.Y.",1866,177.306649284407,"homicide",22,2.09043209231348
"291",1987,"NewYork","New York City",148313,2036.05855262517,"homicide",1672,22.953415411928
"292",1987,"NewYork","Suffolk County, N.Y.",2817,236.33977891282,"homicide",36,3.02031666342262
"293",1988,"NewYork","Buffalo, N.Y.",4271,1319.37450959798,"homicide",43,13.2833303471583
"294",1988,"NewYork","Nassau County, N.Y.",2021,192.80818781292,"homicide",21,2.00344974966418
"295",1988,"NewYork","New York City",162916,2217.64489368329,"homicide",1896,25.8087279237368
"296",1988,"NewYork","Suffolk County, N.Y.",3580.8,299.487138312073,"homicide",37,3.11129399720987
"297",1989,"NewYork","Buffalo, N.Y.",4479,1425.14413714984,"homicide",37,11.7727914879536
"298",1989,"NewYork","Nassau County, N.Y.",1827,174.632502291633,"homicide",26,2.48519160349341
"299",1989,"NewYork","New York City",169487,2299.85830700619,"homicide",1905,25.8499476351979
"300",1989,"NewYork","Suffolk County, N.Y.",2844,238.048006347947,"homicide",29,2.4273530886394
"301",1990,"NewYork","Buffalo, N.Y.",5275,1607.62884649964,"homicide",37,11.2762592076752
"302",1990,"NewYork","Nassau County, N.Y.",1957,193.777533094173,"homicide",21,2.07937056462832
"303",1990,"NewYork","New York City",174542,2383.6186341287,"homicide",2245,30.658659999421
"304",1990,"NewYork","Suffolk County, N.Y.",3012,253.114773936237,"homicide",32,2.68913438444874
"305",1991,"NewYork","Buffalo, N.Y.",6042,1834.50583416577,"homicide",50,15.1812796604251
"306",1991,"NewYork","Nassau County, N.Y.",2287,225.607374115623,"homicide",27,2.66348889423779
"307",1991,"NewYork","New York City",170390,2318.22403821049,"homicide",2154,29.306030743033
"308",1991,"NewYork","Suffolk County, N.Y.",3530.18181818182,295.552195193532,"homicide",44,3.74463535319371
