"","ORI","year","department_name","total_pop","homs_sum","rape_sum","rob_sum","agg_ass_sum","violent_crime","months_reported","violent_per_100k","homs_per_100k","rape_per_100k","rob_per_100k","agg_ass_per_100k","State","US_State"
"60","TXSPD00",1984,"San Antonio",857070,160,745,2657,1826,5388,12,628.653435542021,18.6682534682115,86.9240552113596,310.009684156487,213.051442705963,"TXSPD","Texas"
"61","TX22001",1985,"Arlington, Texas",218931,18,105,299,688,1110,12,507.0090576483,8.22176850240487,47.9603162640284,136.572710123281,314.254262758586,"TX","Texas"
"62","TX22701",1985,"Austin, Texas",406469,52,489,1076,746,2363,12,581.348147091168,12.7931035331108,120.304377455599,264.718834646677,183.531831455781,"TX","Texas"
"63","TX07102",1985,"El Paso, Texas",474870,22,181,993,2466,3662,12,771.158422305052,4.63284688441047,38.1156948217407,209.109861646345,519.300018952555,"TX","Texas"
"64","TX22012",1985,"Fort Worth, Texas",424449,128,483,2620,3121,6352,12,1496.52844040156,30.1567443909633,113.794590162776,617.270861752531,735.306244095286,"TX","Texas"
"65","TXHPD00",1985,"Houston",1746375,457,1711,9589,4704,16461,12,942.581060768735,26.1684918760289,97.9743754920908,549.080237635101,269.357955765514,"TXHPD","Texas"
"66","TXSPD00",1985,"San Antonio",862878,180,824,2683,1706,5393,12,625.00144864048,20.8604229103071,95.4943804338504,310.936192601967,197.710452694355,"TXSPD","Texas"
"67","TX22001",1986,"Arlington, Texas",223106,22,120,518,790,1450,12,649.915286903983,9.86078366337077,53.7860927092951,232.176633528457,354.09177700286,"TX","Texas"
"68","TX22701",1986,"Austin, Texas",414220,48,388,1124,1107,2667,12,643.860750325914,11.5880450002414,93.6700304186181,271.353387088986,267.249287818068,"TX","Texas"
"69","TX07102",1986,"El Paso, Texas",483925,46,198,1039,3451,4734,12,978.250761998243,9.5056052074185,40.9154311101927,214.702691532779,713.127034147853,"TX","Texas"
"70","TX22012",1986,"Fort Worth, Texas",432542,200,559,3373,3738,7870,12,1819.47649014431,46.2382843746966,129.236004827277,779.808665979258,864.193534963079,"TX","Texas"
"71","TXHPD00",1986,"Houston",1779677,408,1524,10926,7718,20576,12,1156.16485463373,22.9255083928151,85.6335166437505,613.931629166416,433.674200430752,"TXHPD","Texas"
"72","TXSPD00",1986,"San Antonio",879332,162,805,3262,2008,6237,12,709.288414387285,18.423075698371,91.5467650443746,370.963413136335,228.355160508204,"TXSPD","Texas"
"73","TX22001",1987,"Arlington, Texas",251372,18,92,511,791,1412,12,561.717295482393,7.160702067056,36.5991438982862,203.28437534809,314.673074168961,"TX","Texas"
"74","TX22701",1987,"Austin, Texas",469542,39,284,985,1005,2313,12,492.607690046897,8.30596623944184,60.4844721026021,209.778890919236,214.038360785617,"TX","Texas"
"75","TX07102",1987,"El Paso, Texas",494954,25,219,969,3119,4332,12,875.232849921407,5.0509744339878,44.2465360417332,195.775769061367,630.159570384318,"TX","Texas"
"76","TX22012",1987,"Fort Worth, Texas",432305,135,476,3270,3810,7691,12,1779.06801910688,31.2279524872486,110.107447288373,756.410404691132,881.322214640127,"TX","Texas"
"77","TXHPD00",1987,"Houston",1739999,323,1172,9692,7784,18971,12,1090.28798292413,18.563229059327,67.3563605496325,557.011814374606,447.356578940563,"TXHPD","Texas"
"78","TXSPD00",1987,"San Antonio",920215,174,849,3253,1816,6092,12,662.019202034307,18.9086246148998,92.261047689942,353.5043440935,197.345185635966,"TXSPD","Texas"
